site,region,date,observer,plot_id,treatment,replicate_number,tag_color,depth,percent_sand,percent_gravel,percent_cobble,percent_turf_algae,percent_frond,grazers,notes,urchin_count_april,urchin_count_source_april,urchin_count_may,urchin_count_source_may,urchin_count_june,urchin_count_source_june
Dixon,west,2023-04-06,Siobhan Gray,10C1,10C,1,Green,6.3,80,10,10,5,0,"2 bat stars, some limpets",,0,Plot_characterization_2023.csv,0,Green_gravel_monitoring_data_2023.csv,NA,Green_gravel_monitoring_data_2023.csv
Dixon,west,2023-04-06,Lauren Dykman,10C2,10C,2,Green,23,40,30,30,2,5,"5 Astrea, 1 chiton, goby under sand bag, 1 limpet","2 Agarum, 1 Macrocystis stipe in plot",0,Plot_characterization_2023.csv,0,Green_gravel_monitoring_data_2023.csv,1,Green_gravel_monitoring_data_2023.csv
Dixon,east,2023-05-19,Lauren Dykman,10C3,10C,3,Green,14,20,0,80,30,0,None,lots of sedimentation and algae,0,Green_gravel_monitoring_data_2023.csv,0,Green_gravel_monitoring_data_2023.csv,0,Green_gravel_monitoring_data_2023.csv
Dixon,east,2023-05-19,Lauren Dykman,10C4,10C,4,Green,15,80,0,20,25,50,None,"1 whelk egg case, gobies",0,Green_gravel_monitoring_data_2023.csv,0,Green_gravel_monitoring_data_2023.csv,0,Green_gravel_monitoring_data_2023.csv
Dixon,west,2023-04-06,Siobhan Gray,10C5,10C,5,Green,6.1,85,5,10,2,20,"Some Astrea, few limpets",,0,Plot_characterization_2023.csv,0,Green_gravel_monitoring_data_2023.csv,0,Green_gravel_monitoring_data_2023.csv
Dixon,west,2023-04-06,Lauren Dykman,10C6,10C,6,Green,19,20,60,20,2,5,"4 Astrea, 1 Evasterias, 1 sea cucmber, some small snails",1 Agarum stipe in plot,0,Plot_characterization_2023.csv,0,Green_gravel_monitoring_data_2023.csv,0,Green_gravel_monitoring_data_2023.csv
Dixon,west,2023-04-06,Siobhan Gray,10C7,10C,7,Green,5.9,50,10,40,5,1,"some limpets, few Astrea",,0,Plot_characterization_2023.csv,2,Green_gravel_monitoring_data_2023.csv,4,Green_gravel_monitoring_data_2023.csv
Dixon,west,2023-04-06,Lauren Dykman,10C8,10C,8,Green,18,45,45,10,1,0,"7 Astrea, 2 scallops, some small snails",,0,Plot_characterization_2023.csv,0,Green_gravel_monitoring_data_2023.csv,NA,Green_gravel_monitoring_data_2023.csv
Dixon,west,2023-04-06,Lauren Dykman,10W1,10W,1,Red,21,60,20,20,0,1,"2 bat stars, some limpets, 5 Astrea",11 small brown algae,0,Plot_characterization_2023.csv,0,Green_gravel_monitoring_data_2023.csv,0,Green_gravel_monitoring_data_2023.csv
Dixon,west,2023-04-06,Siobhan Gray,10W2,10W,2,Red,7.7,90,5,5,5,30,"few Astrea, 1 Orthasterias",,0,Plot_characterization_2023.csv,0,Green_gravel_monitoring_data_2023.csv,NA,Green_gravel_monitoring_data_2023.csv
Dixon,east,2023-05-19,Lauren Dykman,10W3,10W,3,Red,15,40,0,60,40,60,None,large rocks in plot,0,Green_gravel_monitoring_data_2023.csv,0,Green_gravel_monitoring_data_2023.csv,0,Green_gravel_monitoring_data_2023.csv
Dixon,east,2023-05-17,Lauren Dykman,10W4,10W,4,Red,15,80,0,20,15,5,None,,0,Green_gravel_monitoring_data_2023.csv,0,Green_gravel_monitoring_data_2023.csv,0,Green_gravel_monitoring_data_2023.csv
Dixon,west,2023-04-06,Lauren Dykman,10W5,10W,5,Red,20,70,5,25,0,5,"4 Astrea, 1 sea cucumber",1 Agarum stipe in plot,0,Plot_characterization_2023.csv,0,Green_gravel_monitoring_data_2023.csv,4,Green_gravel_monitoring_data_2023.csv
Dixon,west,2023-04-06,Siobhan Gray,10W6,10W,6,Red,5.6,85,10,5,2,0,"4 bat stars, 1 cucumber, few limpets",,0,Plot_characterization_2023.csv,0,Green_gravel_monitoring_data_2023.csv,NA,Green_gravel_monitoring_data_2023.csv
Dixon,west,2023-04-06,Lauren Dykman,10W7,10W,7,Red,21,50,25,25,5,10,"10-20 small pointed snail, 1 sea cucumber, 1 bat star with 6 legs",15% crustose coraline algae cover,0,Plot_characterization_2023.csv,0,Green_gravel_monitoring_data_2023.csv,1,Green_gravel_monitoring_data_2023.csv
Dixon,west,2023-04-06,Siobhan Gray,10W8,10W,8,Red,5.6,85,5,10,1,0,"4 bat stars, few Astrea",,0,Plot_characterization_2023.csv,0,Green_gravel_monitoring_data_2023.csv,0,Green_gravel_monitoring_data_2023.csv
Dixon,west,2023-04-06,Lauren Dykman,2C1,2C,1,Blue,21,70,10,20,2,1,"1 Astrea, 2 bat stars, 10-20 small snail, 1 leafy hornmouth",,0,Plot_characterization_2023.csv,0,Green_gravel_monitoring_data_2023.csv,1,Green_gravel_monitoring_data_2023.csv
Dixon,west,2023-04-06,Siobhan Gray,2C2,2C,2,Blue,6.9,85,5,10,0,30,few Astrea,,0,Plot_characterization_2023.csv,0,Green_gravel_monitoring_data_2023.csv,NA,Green_gravel_monitoring_data_2023.csv
Dixon,east,2023-05-17,Clay Steell,2C3,2C,3,Blue,14,75,5,20,20,30,,Agarum blades,0,Green_gravel_monitoring_data_2023.csv,0,Green_gravel_monitoring_data_2023.csv,0,Green_gravel_monitoring_data_2023.csv
Dixon,east,2023-05-19,Clay Steell,2C4,2C,4,Blue,4.9,90,0,10,25,60,,Prostrate macro,0,Green_gravel_monitoring_data_2023.csv,0,Green_gravel_monitoring_data_2023.csv,0,Green_gravel_monitoring_data_2023.csv
Dixon,west,2023-04-06,Lauren Dykman,2C5,2C,5,Blue,21,60,20,20,5,0,"moon snail egg case, 2 bat star",Agarum stipe just outside,0,Plot_characterization_2023.csv,0,Green_gravel_monitoring_data_2023.csv,0,Green_gravel_monitoring_data_2023.csv
Dixon,west,2023-04-06,Siobhan Gray,2C6,2C,6,Blue,5.7,45,50,5,5,1,1 Orthasterias,,0,Plot_characterization_2023.csv,0,Green_gravel_monitoring_data_2023.csv,1,Green_gravel_monitoring_data_2023.csv
Dixon,west,2023-04-06,Lauren Dykman,2C7,2C,7,Blue,19,60,10,30,5,2,"2 bat stars, 1 leafy hornmouth, 5 gobies",1 Agarum stipe in plot,0,Plot_characterization_2023.csv,1,Green_gravel_monitoring_data_2023.csv,0,Green_gravel_monitoring_data_2023.csv
Dixon,west,2023-04-06,Siobhan Gray,2C8,2C,8,Blue,5.7,10,80,10,2,2,"1 bat star, some Astrea",,0,Plot_characterization_2023.csv,0,Green_gravel_monitoring_data_2023.csv,0,Green_gravel_monitoring_data_2023.csv
Dixon,west,2023-04-06,Siobhan Gray,2W1,2W,1,Orange,6.3,70,10,20,1,20,"few Astrea, few limpets",,0,Plot_characterization_2023.csv,0,Green_gravel_monitoring_data_2023.csv,NA,Green_gravel_monitoring_data_2023.csv
Dixon,west,2023-04-06,Lauren Dykman,2W2,2W,2,Orange,25,50,25,25,1,20,"5 Astrea, 1 sea cucumber, 1 Pycnopodia",3 Agarum stipes in plot,0,Plot_characterization_2023.csv,0,Green_gravel_monitoring_data_2023.csv,NA,Green_gravel_monitoring_data_2023.csv
Dixon,east,2023-05-17,Clay Steell,2W3,2W,3,Orange,14,70,0,30,25,45,,Agarum blades,0,Green_gravel_monitoring_data_2023.csv,0,Green_gravel_monitoring_data_2023.csv,NA,Green_gravel_monitoring_data_2023.csv
Dixon,east,2023-05-19,Clay Steell,2W4,2W,4,Orange,4.8,85,5,10,20,75,,Prostrate macro,0,Green_gravel_monitoring_data_2023.csv,0,Green_gravel_monitoring_data_2023.csv,0,Green_gravel_monitoring_data_2023.csv
Dixon,west,2023-04-06,Siobhan Gray,2W5,2W,5,Orange,5.9,80,5,15,1,10,"Orthasterias with green gravel in stomach, 1 bat star, 1 Astrea",,0,Plot_characterization_2023.csv,0,Green_gravel_monitoring_data_2023.csv,0,Green_gravel_monitoring_data_2023.csv
Dixon,west,2023-04-06,Lauren Dykman,2W6,2W,6,Orange,19,80,10,10,2,5,"2 Astrea, 3 bat stars, 10-20 small snails",1 Agarum stipe in plot,0,Plot_characterization_2023.csv,0,Green_gravel_monitoring_data_2023.csv,0,Green_gravel_monitoring_data_2023.csv
Dixon,west,2023-04-06,Siobhan Gray,2W7,2W,7,Orange,5.9,45,40,15,5,1,"5 cucumbers, some Astrea",,0,Plot_characterization_2023.csv,1,Green_gravel_monitoring_data_2023.csv,0,Green_gravel_monitoring_data_2023.csv
Dixon,west,2023-04-06,Lauren Dykman,2W8,2W,8,Orange,19,10,70,20,0,0,"1 Pycnopodia, 5 Astrea, 1 sea star",,0,Plot_characterization_2023.csv,0,Green_gravel_monitoring_data_2023.csv,0,Green_gravel_monitoring_data_2023.csv
Dixon,west,2023-04-06,Lauren Dykman,C1,Control,1,Yellow,20,80,10,10,0,0,"2 Astrea, 2 limpets",10% crustose coraline algae cover,0,Plot_characterization_2023.csv,0,Green_gravel_monitoring_data_2023.csv,NA,Green_gravel_monitoring_data_2023.csv
Dixon,west,2023-04-06,Siobhan Gray,C2,Control,2,Yellow,7.9,20,65,15,20,20,"1 sea cucumber, few limpets",,0,Plot_characterization_2023.csv,0,Green_gravel_monitoring_data_2023.csv,NA,Green_gravel_monitoring_data_2023.csv
Dixon,east,2023-05-17,Lauren Dykman,C3,Control,3,Yellow,14,50,5,45,30,80,1 sea star,macro and agarum,0,Green_gravel_monitoring_data_2023.csv,0,Green_gravel_monitoring_data_2023.csv,NA,Green_gravel_monitoring_data_2023.csv
Dixon,east,2023-05-17,Clay Steell,C4,Control,4,Yellow,13,85,0,15,30,50,None,Prostrate macro,0,Green_gravel_monitoring_data_2023.csv,0,Green_gravel_monitoring_data_2023.csv,NA,Green_gravel_monitoring_data_2023.csv
Dixon,west,2023-04-06,Lauren Dykman,C5,Control,5,Yellow,19,60,15,25,0,20,"2 bat stars, 1 Astrea, 2 scallops","20% crustose coraline algae cover, Agarum stipe just outside",0,Plot_characterization_2023.csv,0,Green_gravel_monitoring_data_2023.csv,NA,Green_gravel_monitoring_data_2023.csv
Dixon,west,2023-04-06,Siobhan Gray,C6,Control,6,Yellow,5.7,85,10,5,2,15,"Wild macro, 2 bat stars, few Astrea",,0,Plot_characterization_2023.csv,0,Green_gravel_monitoring_data_2023.csv,2,Green_gravel_monitoring_data_2023.csv
Dixon,west,2023-04-06,Lauren Dykman,C7,Control,7,Yellow,20,80,5,15,1,0,"5 gobies, 10 small snails, 1 limpet, 1 bat star","log inside plot, moon snail just outside plot",0,Plot_characterization_2023.csv,0,Green_gravel_monitoring_data_2023.csv,NA,Green_gravel_monitoring_data_2023.csv
Dixon,west,2023-04-06,Siobhan Gray,C8,Control,8,Yellow,5.6,85,10,5,5,2,"3 bat stars, few Astrea",,0,Plot_characterization_2023.csv,0,Green_gravel_monitoring_data_2023.csv,NA,Green_gravel_monitoring_data_2023.csv
Ed King,east,2023-04-05,Lauren Dykman,10C1,10C,1,Green,22,5,15,80,80,0,500-1000 dusky turbin snails; 1 baby Pycnopodia,,0,Plot_characterization_2023.csv,0,Green_gravel_monitoring_data_2023.csv,4,Green_gravel_monitoring_data_2023.csv
Ed King,east,2023-04-05,Siobhan Gray,10C2,10C,2,Green,7.3,5,25,70,70,0,1 Pisaster; few dusky turbin snails,,0,Plot_characterization_2023.csv,0,Green_gravel_monitoring_data_2023.csv,0,Green_gravel_monitoring_data_2023.csv
Ed King,east,2023-04-05,Lauren Dykman,10C3,10C,3,Green,25,45,10,45,60,0,1 hermit crab,,0,Plot_characterization_2023.csv,4,Green_gravel_monitoring_data_2023.csv,3,Green_gravel_monitoring_data_2023.csv
Ed King,east,2023-04-05,Siobhan Gray,10C4,10C,4,Green,8.2,10,50,40,75,0,some dusky; some limpets,,0,Plot_characterization_2023.csv,0,Green_gravel_monitoring_data_2023.csv,5,Green_gravel_monitoring_data_2023.csv
Ed King,east,2023-04-05,Lauren Dykman,10C5,10C,5,Green,28,40,40,20,30,0,3 bat stars; 1 urchin; 1 sea cucumber,urchins ~1m away near rocks,1,Plot_characterization_2023.csv,7,Green_gravel_monitoring_data_2023.csv,2,Green_gravel_monitoring_data_2023.csv
Ed King,west,2023-04-05,Siobhan Gray,10C6,10C,6,Green,9.4,20,15,65,30,0,lots of dusky turbin snails; 1 urchin; some dusky turbin snails; some limpets; 1 Astrea,,1,Plot_characterization_2023.csv,7,Green_gravel_monitoring_data_2023.csv,5,Green_gravel_monitoring_data_2023.csv
Ed King,west,2023-05-16,Clay Steell,10C7,10C,7,Green,26,20,20,60,0,0,4 urchins,,0,Green_gravel_monitoring_data_2023.csv,4,Green_gravel_monitoring_data_2023.csv,4,Green_gravel_monitoring_data_2023.csv
Ed King,west,2023-05-16,Lauren Dykman,10C8,10C,8,Green,28,15,30,55,0,0,4 urchins,,0,Green_gravel_monitoring_data_2023.csv,4,Green_gravel_monitoring_data_2023.csv,9,Green_gravel_monitoring_data_2023.csv
Ed King,east,2023-04-05,Siobhan Gray,10W1,10W,1,Red,7.2,10,65,25,80,0,lots of dusky turbin snails,,0,Plot_characterization_2023.csv,0,Green_gravel_monitoring_data_2023.csv,0,Green_gravel_monitoring_data_2023.csv
Ed King,east,2023-04-05,Lauren Dykman,10W2,10W,2,Red,24,5,15,80,80,0,5-10 dusky turbin snails; 5-10 other small snails; 1 hermit crab; 1 Pycnopodia,,0,Plot_characterization_2023.csv,10,Green_gravel_monitoring_data_2023.csv,5,Green_gravel_monitoring_data_2023.csv
Ed King,east,2023-04-05,Siobhan Gray,10W3,10W,3,Red,7.6,15,70,15,80,0,1 Evasterias,Evasterias had gravel in arms and stomach out,0,Plot_characterization_2023.csv,4,Green_gravel_monitoring_data_2023.csv,4,Green_gravel_monitoring_data_2023.csv
Ed King,east,2023-04-05,Lauren Dykman,10W4,10W,4,Red,27,10,10,80,80,0,~100 turbin snails; 5 chitons,,0,Plot_characterization_2023.csv,6,Green_gravel_monitoring_data_2023.csv,11,Green_gravel_monitoring_data_2023.csv
Ed King,east,2023-04-05,Siobhan Gray,10W5,10W,5,Red,8.6,25,35,40,80,0,some dusky; 1 Evasterias,,0,Plot_characterization_2023.csv,0,Green_gravel_monitoring_data_2023.csv,3,Green_gravel_monitoring_data_2023.csv
Ed King,west,2023-04-05,Lauren Dykman,10W6,10W,6,Red,31,15,35,50,60,0,~100 turbin snails; 5-10 limpets; 1 chiton,,0,Plot_characterization_2023.csv,4,Green_gravel_monitoring_data_2023.csv,2,Green_gravel_monitoring_data_2023.csv
Ed King,west,2023-05-16,Lauren Dykman,10W7,10W,7,Red,25,15,50,35,0,0,7 urchins,all gravels pushed to one side,0,Green_gravel_monitoring_data_2023.csv,8,Green_gravel_monitoring_data_2023.csv,6,Green_gravel_monitoring_data_2023.csv
Ed King,west,2023-05-16,Clay Steell,10W8,10W,8,Red,28,20,30,50,0,0,1 urchin,,0,Green_gravel_monitoring_data_2023.csv,1,Green_gravel_monitoring_data_2023.csv,4,Green_gravel_monitoring_data_2023.csv
Ed King,east,2023-04-05,Siobhan Gray,2C1,2C,1,Blue,6.8,10,50,40,50,0,lots of dusky turbin snails,3 white green gravel moved; near urchin rock ~10ft away from urchins,0,Plot_characterization_2023.csv,0,Green_gravel_monitoring_data_2023.csv,0,Green_gravel_monitoring_data_2023.csv
Ed King,east,2023-04-05,Lauren Dykman,2C2,2C,2,Blue,25,15,25,60,75,0,1 tiny cucumber,crabs seen just outside plot,0,Plot_characterization_2023.csv,0,Green_gravel_monitoring_data_2023.csv,NA,Green_gravel_monitoring_data_2023.csv
Ed King,east,2023-04-05,Siobhan Gray,2C3,2C,3,Blue,7.9,25,55,20,70,0,some limpets; 1 Evasterias,Evasterias has rock in stomach,0,Plot_characterization_2023.csv,1,Green_gravel_monitoring_data_2023.csv,2,Green_gravel_monitoring_data_2023.csv
Ed King,east,2023-04-05,Lauren Dykman,2C4,Control,4,Blue,26,10,20,70,70,0,some crabs; 2 Pisaster,,0,Plot_characterization_2023.csv,0,Green_gravel_monitoring_data_2023.csv,3,Green_gravel_monitoring_data_2023.csv
Ed King,east,2023-04-05,Siobhan Gray,2C5,2C,5,Blue,8.4,25,35,40,80,0,1 bat star,,0,Plot_characterization_2023.csv,5,Green_gravel_monitoring_data_2023.csv,4,Green_gravel_monitoring_data_2023.csv
Ed King,west,2023-04-05,Lauren Dykman,2C6,2C,6,Blue,30,20,50,30,30,0,~50 dusky turbin snails; 1 huge turbin snail; ~50 limpets,,0,Plot_characterization_2023.csv,7,Green_gravel_monitoring_data_2023.csv,7,Green_gravel_monitoring_data_2023.csv
Ed King,west,2023-05-16,Lauren Dykman,2C7,2C,7,Blue,25,10,20,70,5,0,4 urchins,one bag moved,0,Green_gravel_monitoring_data_2023.csv,4,Green_gravel_monitoring_data_2023.csv,2,Green_gravel_monitoring_data_2023.csv
Ed King,west,2023-05-16,Clay Steell,2C8,2C,8,Blue,26,10,15,75,0,0,4 urchins,,0,Green_gravel_monitoring_data_2023.csv,4,Green_gravel_monitoring_data_2023.csv,6,Green_gravel_monitoring_data_2023.csv
Ed King,east,2023-04-05,Lauren Dykman,2W1,2W,1,Orange,22,5,15,80,80,0,500-1000 dusky turbin snails; 1 Pycnopodia,,0,Plot_characterization_2023.csv,0,Green_gravel_monitoring_data_2023.csv,NA,Green_gravel_monitoring_data_2023.csv
Ed King,east,2023-04-05,Siobhan Gray,2W2,2W,2,Orange,7.1,15,35,50,60,0,3 bat stars; 1 Pycnopodia; some dusky turbin snails,near urchin rock ~10ft away from urchins,0,Plot_characterization_2023.csv,10,Green_gravel_monitoring_data_2023.csv,7,Green_gravel_monitoring_data_2023.csv
Ed King,east,2023-04-05,Lauren Dykman,2W3,2W,3,Orange,26,80,10,10,40,0,None,,0,Plot_characterization_2023.csv,6,Green_gravel_monitoring_data_2023.csv,4,Green_gravel_monitoring_data_2023.csv
Ed King,east,2023-04-05,Siobhan Gray,2W4,2W,4,Orange,8.2,10,40,50,70,5,1 bat star; some dusky turbin snails; 1 Astrea; few limpets; 1 sea cucumber,,0,Plot_characterization_2023.csv,7,Green_gravel_monitoring_data_2023.csv,5,Green_gravel_monitoring_data_2023.csv
Ed King,east,2023-04-05,Lauren Dykman,2W5,2W,5,Orange,28,40,40,20,30,0,1 bat star; 1 sea cucumber; some limpets,urchins ~1m away near rocks; kelp in this plot looks great,0,Plot_characterization_2023.csv,8,Green_gravel_monitoring_data_2023.csv,3,Green_gravel_monitoring_data_2023.csv
Ed King,west,2023-04-05,Siobhan Gray,2W6,2W,6,Orange,9.6,20,25,55,30,0,1 urchin; some limpets; some dusky turbin snails,,1,Plot_characterization_2023.csv,3,Green_gravel_monitoring_data_2023.csv,8,Green_gravel_monitoring_data_2023.csv
Ed King,west,2023-05-16,Clay Steell,2W7,2W,7,Orange,24,35,15,50,0,30,25 urchins,Desmarestia,0,Green_gravel_monitoring_data_2023.csv,25,Green_gravel_monitoring_data_2023.csv,1,Green_gravel_monitoring_data_2023.csv
Ed King,west,2023-05-16,Siobhan Gray,2W8,2W,8,Orange,27,10,20,70,0,0,4 urchins,,0,Green_gravel_monitoring_data_2023.csv,5,Green_gravel_monitoring_data_2023.csv,1,Green_gravel_monitoring_data_2023.csv
Ed King,east,2023-04-05,Siobhan Gray,C1,Control,1,Yellow,6.8,10,80,10,25,0,lots of dusky turbin snails,,0,Plot_characterization_2023.csv,0,Green_gravel_monitoring_data_2023.csv,NA,Green_gravel_monitoring_data_2023.csv
Ed King,east,2023-04-05,Lauren Dykman,C2,Control,2,Yellow,24,10,20,70,80,0,3 cucumbers; 1 Pycnopodia,,0,Plot_characterization_2023.csv,6,Green_gravel_monitoring_data_2023.csv,3,Green_gravel_monitoring_data_2023.csv
Ed King,east,2023-04-05,Siobhan Gray,C3,Control,3,Yellow,7.8,65,15,20,40,5,None,wild macrocystis,0,Plot_characterization_2023.csv,0,Green_gravel_monitoring_data_2023.csv,NA,Green_gravel_monitoring_data_2023.csv
Ed King,east,2023-04-05,Lauren Dykman,C4,2C,4,Yellow,28,60,20,20,60,5,None,goby burrow under one sand bag,0,Plot_characterization_2023.csv,0,Green_gravel_monitoring_data_2023.csv,1,Green_gravel_monitoring_data_2023.csv
Ed King,east,2023-05-16,Lauren Dykman,C5,Control,5,Yellow,27,10,60,30,0,0,1 bat star; 2 sea cucumbers; 6 urchins,,0,Green_gravel_monitoring_data_2023.csv,6,Green_gravel_monitoring_data_2023.csv,4,Green_gravel_monitoring_data_2023.csv
Ed King,west,2023-04-05,Lauren Dykman,C6,Control,6,Yellow,30,20,50,30,20,0,1 bat star; some limpets; some dusky turbin snails,,0,Plot_characterization_2023.csv,0,Green_gravel_monitoring_data_2023.csv,4,Green_gravel_monitoring_data_2023.csv
Ed King,west,2023-05-16,Lauren Dykman,C7,Control,7,Yellow,24,50,40,10,5,0,5 urchins,,0,Green_gravel_monitoring_data_2023.csv,0,Green_gravel_monitoring_data_2023.csv,7,Green_gravel_monitoring_data_2023.csv
Ed King,west,2023-05-16,Clay Steell,C8,Control,8,Yellow,30,10,15,75,0,0,5 urchins,,0,Green_gravel_monitoring_data_2023.csv,5,Green_gravel_monitoring_data_2023.csv,4,Green_gravel_monitoring_data_2023.csv