site,date,region,substrate,meters,urchins,notes,depth
Dixon,2023-05-17,east,cobble,0,0,,
Dixon,2023-05-17,east,cobble,3,0,,
Dixon,2023-05-17,east,cobble,6,0,,
Dixon,2023-05-17,east,cobble,9,0,in kelp bed,
Dixon,2023-05-17,east,cobble,12,0,near plot C4,
Dixon,2023-05-17,east,cobble,15,0,in kelp bed,
Dixon,2023-05-17,east,cobble,18,0,in kelp bed,
Dixon,2023-05-17,east,cobble,21,0,in kelp bed,
Dixon,2023-05-17,east,cobble,24,0,,
Dixon,2023-05-17,east,cobble,27,0,,
Dixon,2023-05-17,east,cobble,30,0,,
Dixon,2023-05-17,west,cobble,0,1,,
Dixon,2023-05-17,west,cobble,3,0,,
Dixon,2023-05-17,west,cobble,6,0,,
Dixon,2023-05-17,west,cobble,9,1,,
Dixon,2023-05-17,west,cobble,12,1,,
Dixon,2023-05-17,west,cobble,15,0,,
Dixon,2023-05-17,west,cobble,18,0,,
Dixon,2023-05-17,west,cobble,21,0,,
Dixon,2023-05-17,west,cobble,24,0,,
Dixon,2023-05-17,west,cobble,27,0,,
Dixon,2023-05-17,west,cobble,30,0,,
Dixon,2023-05-17,west,boulder,0,1,started near 10W7,
Dixon,2023-05-17,west,boulder,3,2,,
Dixon,2023-05-17,west,boulder,6,1,,
Dixon,2023-05-17,west,boulder,9,1,,
Dixon,2023-05-17,west,boulder,12,0,,
Dixon,2023-05-17,west,boulder,15,5,,
Dixon,2023-05-17,west,boulder,18,1,,
Dixon,2023-05-17,west,boulder,21,0,,
Dixon,2023-05-17,west,boulder,24,0,,
Dixon,2023-05-17,west,boulder,27,0,,
Dixon,2023-05-17,west,boulder,30,0,ended near 2C5 and 2W2,
Ed King,2023-05-18,east,boulder,0,2,,8.0-5.8
Ed King,2023-05-18,east,boulder,3,1,,8.0-5.8
Ed King,2023-05-18,east,boulder,6,1,,8.0-5.8
Ed King,2023-05-18,east,boulder,9,4,,8.0-5.8
Ed King,2023-05-18,east,boulder,12,3,,8.0-5.8
Ed King,2023-05-18,east,boulder,15,1,,8.0-5.8
Ed King,2023-05-18,east,boulder,18,2,,8.0-5.8
Ed King,2023-05-18,east,boulder,21,1,,8.0-5.8
Ed King,2023-05-18,east,boulder,24,2,,8.0-5.8
Ed King,2023-05-18,east,boulder,27,3,,8.0-5.8
Ed King,2023-05-18,east,boulder,30,2,,8.0-5.8
Ed King,2023-05-18,east,cobble,0,3,,8.3-7.3
Ed King,2023-05-18,east,cobble,3,2,,8.3-7.3
Ed King,2023-05-18,east,cobble,6,0,,8.3-7.3
Ed King,2023-05-18,east,cobble,9,1,,8.3-7.3
Ed King,2023-05-18,east,cobble,12,6,,8.3-7.3
Ed King,2023-05-18,east,cobble,15,4,,8.3-7.3
Ed King,2023-05-18,east,cobble,18,8,,8.3-7.3
Ed King,2023-05-18,east,cobble,21,7,,8.3-7.3
Ed King,2023-05-18,east,cobble,24,3,,8.3-7.3
Ed King,2023-05-18,east,cobble,27,5,,8.3-7.3
Ed King,2023-05-18,east,cobble,30,4,,8.3-7.3
Ed King,2023-05-18,west,boulder,0,4,,8.2-5.3m
Ed King,2023-05-18,west,boulder,3,2,,8.2-5.3m
Ed King,2023-05-18,west,boulder,6,5,,8.2-5.3m
Ed King,2023-05-18,west,boulder,9,0,,8.2-5.3m
Ed King,2023-05-18,west,boulder,12,18,,8.2-5.3m
Ed King,2023-05-18,west,boulder,15,2,,8.2-5.3m
Ed King,2023-05-18,west,boulder,18,3,,8.2-5.3m
Ed King,2023-05-18,west,boulder,21,5,,8.2-5.3m
Ed King,2023-05-18,west,boulder,24,6,,8.2-5.3m
Ed King,2023-05-18,west,boulder,27,0,,8.2-5.3m
Ed King,2023-05-18,west,boulder,30,3,,8.2-5.3m
Ed King,2023-05-18,west,cobble,0,3,,9-5.9m
Ed King,2023-05-18,west,cobble,3,7,,9-5.9m
Ed King,2023-05-18,west,cobble,6,4,,9-5.9m
Ed King,2023-05-18,west,cobble,9,5,,9-5.9m
Ed King,2023-05-18,west,cobble,12,3,,9-5.9m
Ed King,2023-05-18,west,cobble,15,3,,9-5.9m
Ed King,2023-05-18,west,cobble,18,8,,9-5.9m
Ed King,2023-05-18,west,cobble,21,6,,9-5.9m
Ed King,2023-05-18,west,cobble,24,0,,9-5.9m
Ed King,2023-05-18,west,cobble,27,0,,9-5.9m
Ed King,2023-05-18,west,cobble,30,4,near plot C8 and 2C6,9-5.9m
Dixon,2023-06-29,west,cobble,0,1,near plot 10W7,
Dixon,2023-06-29,west,cobble,3,4,,
Dixon,2023-06-29,west,cobble,6,0,near plot 2C7,
Dixon,2023-06-29,west,cobble,9,1,,
Dixon,2023-06-29,west,cobble,12,0,near plot 2C6,
Dixon,2023-06-29,west,cobble,15,1,,
Dixon,2023-06-29,west,cobble,18,1,,
Dixon,2023-06-29,west,cobble,21,0,near plot 10W8,
Dixon,2023-06-29,west,cobble,24,0,,
Dixon,2023-06-29,west,cobble,27,0,,
Dixon,2023-06-29,west,cobble,30,2,near plot 2C5,
Dixon,2023-06-29,west,boulder,0,0,,
Dixon,2023-06-29,west,boulder,3,2,,
Dixon,2023-06-29,west,boulder,6,9,,
Dixon,2023-06-29,west,boulder,9,0,,
Dixon,2023-06-29,west,boulder,12,1,,
Dixon,2023-06-29,west,boulder,15,1,,
Dixon,2023-06-29,west,boulder,18,0,,
Dixon,2023-06-29,west,boulder,21,1,,
Dixon,2023-06-29,west,boulder,24,0,,
Dixon,2023-06-29,west,boulder,27,3,,
Dixon,2023-06-29,west,boulder,30,1,,
Dixon,2023-06-29,east,cobble,0,0,Noticed kelp 2C3#1 very bleached. Near 2C3.,
Dixon,2023-06-29,east,cobble,3,0,,
Dixon,2023-06-29,east,cobble,6,0,,
Dixon,2023-06-29,east,cobble,9,0,,
Dixon,2023-06-29,east,cobble,12,0,,
Dixon,2023-06-29,east,cobble,15,0,,
Ed King,2023-06-29,east,cobble,0,2,near plot 10W2,
Ed King,2023-06-29,east,cobble,3,1,,
Ed King,2023-06-29,east,cobble,6,1,near plot 10W3,
Ed King,2023-06-29,east,cobble,9,1,,
Ed King,2023-06-29,east,cobble,12,1,,
Ed King,2023-06-29,east,cobble,15,1,near plot 2C4,
Ed King,2023-06-29,east,cobble,18,3,near plot 10C4,
Ed King,2023-06-29,east,cobble,21,5,,
Ed King,2023-06-29,east,cobble,24,0,,
Ed King,2023-06-29,east,cobble,27,4,,
Ed King,2023-06-29,east,cobble,30,5,near plot C5,
Ed King,2023-06-29,east,boulder,0,3,,
Ed King,2023-06-29,east,boulder,3,2,,
Ed King,2023-06-29,east,boulder,6,3,,
Ed King,2023-06-29,east,boulder,9,2,,
Ed King,2023-06-29,east,boulder,12,1,,
Ed King,2023-06-29,east,boulder,15,0,,
Ed King,2023-06-29,east,boulder,18,3,,
Ed King,2023-06-29,east,boulder,21,2,,
Ed King,2023-06-29,east,boulder,24,2,,
Ed King,2023-06-29,east,boulder,27,5,,
Ed King,2023-06-29,east,boulder,30,0,just past plot 2W4,
Ed King,2023-06-29,west,cobble,0,4,near plot 10W6,
Ed King,2023-06-29,west,cobble,3,0,,
Ed King,2023-06-29,west,cobble,6,0,near plot 10W8,
Ed King,2023-06-29,west,cobble,9,3,,
Ed King,2023-06-29,west,cobble,12,7,near plot 10C7,
Ed King,2023-06-29,west,cobble,15,3,,
Ed King,2023-06-29,west,cobble,18,1,,
Ed King,2023-06-29,west,cobble,21,4,,
Ed King,2023-06-29,west,cobble,24,4,,
Ed King,2023-06-29,west,cobble,27,3,,
Ed King,2023-06-29,west,cobble,30,2,,
Ed King,2023-06-29,west,boulder,0,2,,
Ed King,2023-06-29,west,boulder,3,3,,
Ed King,2023-06-29,west,boulder,6,2,,
Ed King,2023-06-29,west,boulder,9,3,,
Ed King,2023-06-29,west,boulder,12,2,,
Ed King,2023-06-29,west,boulder,15,1,,
Ed King,2023-06-29,west,boulder,18,5,,
Ed King,2023-06-29,west,boulder,21,2,,
Ed King,2023-06-29,west,boulder,24,8,,
Ed King,2023-06-29,west,boulder,27,4,,
Ed King,2023-06-29,west,boulder,30,5,,
Ed King,2023-08-28,west,boulder,0,1,shore end,
Ed King,2023-08-28,west,boulder,3,6,,
Ed King,2023-08-28,west,boulder,6,3,,
Ed King,2023-08-28,west,boulder,9,1,,
Ed King,2023-08-28,west,boulder,12,3,,
Ed King,2023-08-28,west,boulder,15,6,,
Ed King,2023-08-28,west,boulder,18,1,,
Ed King,2023-08-28,west,boulder,21,1,,
Ed King,2023-08-28,west,boulder,24,5,,
Ed King,2023-08-28,west,boulder,27,5,,
Ed King,2023-08-28,west,boulder,30,2,buoy end,
Ed King,2023-08-28,west,cobble,0,4,buoy end,
Ed King,2023-08-28,west,cobble,3,3,,
Ed King,2023-08-28,west,cobble,6,2,,
Ed King,2023-08-28,west,cobble,9,4,,
Ed King,2023-08-28,west,cobble,12,5,,
Ed King,2023-08-28,west,cobble,15,2,,
Ed King,2023-08-28,west,cobble,18,2,,
Ed King,2023-08-28,west,cobble,21,0,,
Ed King,2023-08-28,west,cobble,24,0,,
Ed King,2023-08-28,west,cobble,27,0,,
Ed King,2023-08-28,west,cobble,30,4,shore end,
Ed King,2023-08-28,east,cobble,0,5,,
Ed King,2023-08-28,east,cobble,3,1,,
Ed King,2023-08-28,east,cobble,6,2,,
Ed King,2023-08-28,east,cobble,9,1,,
Ed King,2023-08-28,east,cobble,12,2,,
Ed King,2023-08-28,east,cobble,15,8,,
Ed King,2023-08-28,east,cobble,18,6,,
Ed King,2023-08-28,east,cobble,21,3,,
Ed King,2023-08-28,east,cobble,24,3,,
Ed King,2023-08-28,east,cobble,27,3,,
Ed King,2023-08-28,east,cobble,30,0,,
Ed King,2023-08-30,east,boulder,0,1,,
Ed King,2023-08-30,east,boulder,3,1,,
Ed King,2023-08-30,east,boulder,6,1,,
Ed King,2023-08-30,east,boulder,9,5,,
Ed King,2023-08-30,east,boulder,12,2,,
Ed King,2023-08-30,east,boulder,15,0,,
Ed King,2023-08-30,east,boulder,18,2,,
Ed King,2023-08-30,east,boulder,21,0,,
Ed King,2023-08-30,east,boulder,24,0,,
Ed King,2023-08-30,east,boulder,27,3,,
Ed King,2023-08-30,east,boulder,30,2,,
Dixon,2023-08-29,east,cobble,0,0,2W3,
Dixon,2023-08-29,east,cobble,3,0,2C3,
Dixon,2023-08-29,east,cobble,6,0,,
Dixon,2023-08-29,east,cobble,9,0,,
Dixon,2023-08-29,east,cobble,12,0,,
Dixon,2023-08-29,east,cobble,15,0,,
Dixon,2023-08-29,east,cobble,18,0,,
Dixon,2023-08-29,east,cobble,21,0,,
Dixon,2023-08-29,east,cobble,24,0,,
Dixon,2023-08-29,east,cobble,27,0,,
Dixon,2023-08-29,east,cobble,30,0,,
Dixon,2023-08-30,west,cobble,0,1,,
Dixon,2023-08-30,west,cobble,3,4,,
Dixon,2023-08-30,west,cobble,6,4,,
Dixon,2023-08-30,west,cobble,9,0,,
Dixon,2023-08-30,west,cobble,12,0,,
Dixon,2023-08-30,west,cobble,15,0,,
Dixon,2023-08-30,west,cobble,18,0,,
Dixon,2023-08-30,west,cobble,21,1,,
Dixon,2023-08-30,west,cobble,24,0,,
Dixon,2023-08-30,west,cobble,27,0,,
Dixon,2023-08-30,west,cobble,30,0,,
Dixon,2023-08-30,west,boulder,0,3,,
Dixon,2023-08-30,west,boulder,3,2,,
Dixon,2023-08-30,west,boulder,6,4,,
Dixon,2023-08-30,west,boulder,9,4,,
Dixon,2023-08-30,west,boulder,12,2,,
Dixon,2023-08-30,west,boulder,15,5,,
Dixon,2023-08-30,west,boulder,18,1,,
Dixon,2023-08-30,west,boulder,21,1,,
Dixon,2023-08-30,west,boulder,24,3,,
Dixon,2023-08-30,west,boulder,27,1,,
Dixon,2023-08-30,west,boulder,30,1,,
,,,,,,,